player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name
484,485,Mohammad Nabi,null,�Right-hand bat,Right-arm offbreak,Afghanistan
485,486,Mohammed Siraj,null,Right-hand bat,�Right-arm medium-fast,India
486,487,NB Singh,null,Right-hand bat,Right-arm medium,India
487,488,RA Tripathi,null,�Right-hand bat,Right-arm medium,India
488,489,Rashid Khan,null,Right-hand bat,Legbreak googly,Afghanistan
489,490,RD Chahar,null,Right-hand bat,Legbreak googly,India
490,491,SP Jackson,null,Right-hand bat,NULL,India
491,492,SS Agarwal,null,Right-hand bat,Legbreak googly,India
492,493,T Natarajan,null,Left-hand bat,Left-arm medium,India
493,494,Tejas Baroka,null,Right-hand bat,Legbreak googly,India
494,495,TS Mills,null,Right-hand bat,�Left-arm fast,England
495,496,Vishnu Vinod,null,Right-hand bat,NULL,India
496,497,Washington Sundar,null,�Left-hand bat,�Right-arm offbreak,India
